period,eval_start_day,eval_end_day,window,model,train_rows,eval_rows,fit_seconds,threshold,mean_psi,max_psi,drift_detected,auc,pr_auc,precision,recall,f1,balanced_accuracy,false_positives,false_negatives,decision_cost,decision_utility,true_positives,true_negatives
1,60.0,90.0,expanding,xgboost,223738,92189,2.3117377758026123,0.2,0.018657384488429903,0.03466090696691762,False,0.9174796746733569,0.6192906575888841,0.635143570536829,0.5464554242749732,0.5874711316397229,0.7666205793731165,1169,1689,18059.0,-18059.0,2035,87296
1,60.0,90.0,30d,xgboost,89399,92189,1.3150038719177246,0.2,0.002391348053350633,0.007332310520995017,False,0.909910945015606,0.6109917726278156,0.6703180212014134,0.5093984962406015,0.5788831248092767,0.749425976204854,933,1827,19203.0,-19203.0,1897,87532
1,60.0,90.0,60d,xgboost,223738,92189,2.0945534706115723,0.2,0.018657384488429903,0.03466090696691762,False,0.9174796746733569,0.6192906575888841,0.635143570536829,0.5464554242749732,0.5874711316397229,0.7666205793731165,1169,1689,18059.0,-18059.0,2035,87296
1,60.0,90.0,90d,xgboost,223738,92189,2.273101329803467,0.2,0.018657384488429903,0.03466090696691762,False,0.9174796746733569,0.6192906575888841,0.635143570536829,0.5464554242749732,0.5874711316397229,0.7666205793731165,1169,1689,18059.0,-18059.0,2035,87296
2,90.0,120.0,expanding,xgboost,315927,98615,2.6527271270751953,0.2,0.01023125449578875,0.020490422038152382,False,0.9070731867158722,0.5613954859366387,0.5990668740279937,0.49409953822473063,0.5415436524673134,0.7402452883961264,1289,1972,21009.0,-21009.0,1926,93428
2,90.0,120.0,30d,xgboost,92189,98615,1.3656244277954102,0.2,0.0025564725853372745,0.004134272850512358,False,0.8936972829752305,0.5367264380300837,0.6210636808957313,0.45536172396100566,0.5254588513913558,0.7219638312468436,1083,2123,22313.0,-22313.0,1775,93634
2,90.0,120.0,60d,xgboost,181588,98615,1.8907322883605957,0.2,0.004397420807622578,0.00974755708749184,False,0.904129955968912,0.5434055508435891,0.6053479381443299,0.4820420728578758,0.5367037989145959,0.7345544042509762,1225,2019,21415.0,-21415.0,1879,93492
2,90.0,120.0,90d,xgboost,315927,98615,2.6055331230163574,0.2,0.01023125449578875,0.020490422038152382,False,0.9070731867158722,0.5613954859366387,0.5990668740279937,0.49409953822473063,0.5415436524673134,0.7402452883961264,1289,1972,21009.0,-21009.0,1926,93428
3,120.0,150.0,expanding,xgboost,414542,83571,3.3075344562530518,0.2,0.02799001029752814,0.051324208699313034,False,0.9182149691693089,0.5639474592492246,0.6152125279642058,0.4824561403508772,0.5408062930186824,0.735901079677303,860,1475,15610.0,-15610.0,1375,79861
3,120.0,150.0,30d,xgboost,98615,83571,1.4234862327575684,0.2,0.017740069321984537,0.030552539674946835,False,0.907540819069887,0.5565188396706179,0.6372315035799523,0.46842105263157896,0.5399393326592518,0.7295029533174371,760,1515,15910.0,-15910.0,1335,79961
3,120.0,150.0,60d,xgboost,190804,83571,1.9819040298461914,0.2,0.015599010583919342,0.03063609988024446,False,0.9123604783815685,0.5666735773094762,0.6373991457047935,0.4712280701754386,0.5418599959653015,0.7308816853893756,764,1507,15834.0,-15834.0,1343,79957
3,120.0,150.0,90d,xgboost,280203,83571,2.4783804416656494,0.2,0.015678573226403036,0.03554430870434651,False,0.9159399856164736,0.5725943208072966,0.6359927470534905,0.492280701754386,0.5549841772151899,0.7411664283539339,803,1447,15273.0,-15273.0,1403,79918
4,150.0,180.0,expanding,xgboost,498113,86934,3.6744532585144043,0.2,0.023930286743900072,0.0545853151168799,False,0.9224003064354915,0.5782303018886411,0.5947069943289225,0.5292732166890982,0.5600854548691472,0.758252768035838,1072,1399,15062.0,-15062.0,1573,82890
4,150.0,180.0,30d,xgboost,83571,86934,1.2305717468261719,0.2,0.0047889655294478875,0.011081598485708125,False,0.9042929594054966,0.5475876554713353,0.6364040943480196,0.48115746971736206,0.547997700708948,0.7357134386532548,817,1542,16237.0,-16237.0,1430,83145
4,150.0,180.0,60d,xgboost,182186,86934,1.9019255638122559,0.2,0.008658906746809546,0.02008556146916645,False,0.921458937730691,0.5742204419530507,0.6283149734802121,0.5181695827725438,0.5679513184584178,0.7536597181388505,911,1432,15231.0,-15231.0,1540,83051
4,150.0,180.0,90d,xgboost,274375,86934,2.413677930831909,0.2,0.011091282715145754,0.027362028937396095,False,0.9220958382025223,0.5784868930737143,0.6197628458498023,0.5275908479138627,0.5699745547073791,0.7580666418888529,962,1404,15002.0,-15002.0,1568,83000
