model,validation,threshold,accuracy,recall,precision,f1,balanced_accuracy,auc,notes,source
integrado 05 sin UID,holdout 75/25,0.5,0.9755613506282386,0.3476470588235294,0.8631937682570594,0.4956667598546268,0.6728378066068397,0.934,umbrales fijos 0.50 y 0.19,"src/eval_05_integrated.py --experiment protocolo; features del notebook 05, semilla 42"
integrado 05 sin UID,OOF GroupKFold x3,0.5,0.9773461577539201,0.4016357740889513,0.8911199398690003,0.5537096343741661,0.6999282213797796,0.9347,umbrales fijos 0.50 y 0.19,"src/eval_05_integrated.py --experiment protocolo; features del notebook 05, semilla 42"
integrado 05 sin UID,holdout 75/25,0.19,0.975967758322891,0.49627450980392157,0.7210826210826211,0.5879210220673635,0.7447030106812431,0.934,umbrales fijos 0.50 y 0.19,"src/eval_05_integrated.py --experiment protocolo; features del notebook 05, semilla 42"
integrado 05 sin UID,OOF GroupKFold x3,0.19,0.976192975920344,0.5399990320863379,0.7101578411405295,0.6134982817869417,0.7660039169928476,0.9347,umbrales fijos 0.50 y 0.19,"src/eval_05_integrated.py --experiment protocolo; features del notebook 05, semilla 42"
integrado 05 sin UID,OOF GroupKFold x3,0.19,0.9761963626511329,0.5399990320863379,0.710248249522597,0.6135320155060072,0.7660056717574723,0.9347,umbral calibrado en OOF (in-sample); F1 maximo 0.6135,"src/eval_05_integrated.py --experiment protocolo; features del notebook 05, semilla 42"
integrado 05 + magic UID,holdout 75/25,0.5,0.9774917871778372,0.40784313725490196,0.872849349559379,0.5559267673393024,0.702858671795094,0.9456,umbrales fijos 0.50 y 0.19,"src/eval_05_integrated.py --experiment protocolo; features del notebook 05, semilla 42"
integrado 05 + magic UID,OOF GroupKFold x3,0.5,0.9792969146882514,0.45550016938489085,0.9061326658322904,0.6062479871175523,0.72689463693793,0.9509,umbrales fijos 0.50 y 0.19,"src/eval_05_integrated.py --experiment protocolo; features del notebook 05, semilla 42"
integrado 05 + magic UID,holdout 75/25,0.19,0.9772479425610459,0.5586274509803921,0.719989891331817,0.6291266423760626,0.7754269608359006,0.9456,umbrales fijos 0.50 y 0.19,"src/eval_05_integrated.py --experiment protocolo; features del notebook 05, semilla 42"
integrado 05 + magic UID,OOF GroupKFold x3,0.19,0.9786940766078505,0.5981222474955235,0.7428622948848951,0.6626809651474531,0.7953076822156416,0.9509,umbrales fijos 0.50 y 0.19,"src/eval_05_integrated.py --experiment protocolo; features del notebook 05, semilla 42"
integrado 05 + magic UID,OOF GroupKFold x3,0.1758,0.9783638703559454,0.608624110729323,0.7283678906521487,0.6631337499011309,0.8001971323198641,0.9509,umbral calibrado en OOF (in-sample); F1 maximo 0.6631,"src/eval_05_integrated.py --experiment protocolo; features del notebook 05, semilla 42"
